pickup_date,temp_max,temp_min,temp_mean,precip_mm,snow_mm,wind_max,weather_code,conditions
2023-09-08,31.7,20.4,25.2,14.3,0.0,16.1,63,Rainy
2023-09-09,29.3,20.8,23.7,8.5,0.0,12.6,63,Rainy
2023-09-10,24.6,19.6,21.9,16.5,0.0,10.7,63,Rainy
2023-09-11,27.7,19.9,22.9,4.4,0.0,10.5,61,Rainy
2023-09-12,29.0,19.1,23.1,0.2,0.0,11.9,51,Rainy
2023-09-13,26.7,19.8,22.3,17.1,0.0,11.9,63,Rainy
2023-09-14,25.0,17.1,20.3,0.0,0.0,16.9,3,Partly cloudy
2023-09-15,21.5,13.7,17.3,0.0,0.0,23.3,3,Partly cloudy
2023-09-16,24.5,15.2,19.0,0.0,0.0,22.0,3,Partly cloudy
2023-09-17,24.3,11.8,18.4,0.5,0.0,14.8,51,Rainy
2023-09-18,21.5,16.6,18.9,13.9,0.0,17.3,63,Rainy
2023-09-19,23.5,13.4,17.9,0.0,0.0,21.5,0,Clear
2023-09-20,23.5,11.7,17.2,0.0,0.0,14.3,3,Partly cloudy
2023-09-21,22.8,11.6,16.8,0.0,0.0,13.0,3,Partly cloudy
2023-09-22,22.4,13.0,17.2,0.0,0.0,22.6,3,Partly cloudy
2023-09-23,16.2,13.6,15.1,42.3,0.0,31.4,65,Rainy
2023-09-24,19.8,16.0,17.2,17.3,0.0,31.9,63,Rainy
2023-09-25,17.3,14.4,16.1,17.5,0.0,30.8,63,Rainy
2023-09-26,17.0,13.4,15.2,8.5,0.0,24.6,61,Rainy
2023-09-27,17.8,9.4,13.7,0.0,0.0,19.4,3,Partly cloudy
2023-09-28,18.8,10.7,14.3,0.1,0.0,17.5,51,Rainy
2023-09-29,17.2,13.2,15.2,69.9,0.0,25.5,65,Rainy
2023-09-30,21.7,13.0,16.3,1.0,0.0,20.4,53,Rainy
2023-10-01,25.1,14.2,18.9,0.0,0.0,18.7,0,Clear
2023-10-02,25.4,15.8,19.8,0.0,0.0,16.0,3,Partly cloudy
2023-10-03,27.4,13.1,19.3,0.0,0.0,8.6,3,Partly cloudy
2023-10-04,27.8,14.9,20.1,0.0,0.0,12.6,3,Partly cloudy
2023-10-05,24.1,13.1,17.9,0.0,0.0,17.4,3,Partly cloudy
2023-10-06,22.5,17.6,19.8,2.6,0.0,15.0,53,Rainy
2023-10-07,20.7,11.8,17.1,60.4,0.0,29.1,65,Rainy
2023-10-08,16.9,9.4,12.9,0.0,0.0,24.5,3,Partly cloudy
2023-10-09,15.7,7.3,11.5,0.1,0.0,23.9,51,Rainy
